Message Type,Device_ID,Sequence Number,Timestamp,Batch Count,Valid Checksum,Arrival,Duplicate Flag,Gap Flag,Bytes Per Report,CPU Time Per Report(ms)
1,1,36,1765563324,2,True,1765563325.0178676,0,0,52,0.06674499945802381
1,1,37,1765563324,1,True,1765563325.0335164,0,0,31,0.04860399985773256
1,1,38,1765563324,1,True,1765563325.0610955,0,0,31,0.04437099960341584
1,1,39,1765563324,3,True,1765563325.0645201,0,0,74,0.061466999795811716
1,1,40,1765563324,3,True,1765563325.0872066,0,0,74,0.07600099979754305
1,1,41,1765563325,3,True,1765563325.1095974,0,0,74,0.07890600045357132
1,1,42,1765563325,2,True,1765563325.133569,0,0,53,0.050796999857993796
1,1,43,1765563325,1,True,1765563325.1500864,0,0,32,0.06656499954260653
1,1,44,1765563325,2,True,1765563325.1751316,0,0,53,0.08597800024290336
1,1,45,1765563325,2,True,1765563325.18862,0,0,52,0.06819699956395198
1,1,46,1765563325,2,True,1765563325.213989,0,0,52,0.06871100049465895
1,1,47,1765563325,3,True,1765563325.232384,0,0,74,0.09505299931333866
1,1,48,1765563325,2,True,1765563325.259749,0,0,53,0.06107799981691642
1,1,49,1765563325,1,True,1765563325.2738605,0,0,32,0.03584600017347839
1,1,50,1765563325,1,True,1765563325.2916565,0,0,32,0.05088199941383209
1,1,51,1765563325,2,True,1765563325.3097615,0,0,51,0.061239000388013665
1,1,52,1765563325,1,True,1765563325.36514,0,0,32,0.05359699935070239
1,1,53,1765563325,1,True,1765563325.3734772,0,0,32,0.044484999307314865
1,1,54,1765563325,1,True,1765563325.3954709,0,0,32,0.04914500004815636
1,1,55,1765563325,2,True,1765563325.4230886,0,0,53,0.11952599925280083
1,1,56,1765563325,2,True,1765563325.4595098,0,0,53,0.0659099996482837
1,1,13,1765563324,1,True,1765563325.4663248,1,0,32,0.04180699943390209
1,1,57,1765563325,3,True,1765563325.499951,0,0,74,0.08624400015833089
1,1,58,1765563325,1,True,1765563325.5136645,0,0,32,0.04125699979340425
1,1,59,1765563325,3,True,1765563325.5366907,0,0,74,0.08516099933331134
1,1,16,1765563324,3,True,1765563325.5535045,1,0,73,0.05375900036597159
1,1,60,1765563325,1,True,1765563325.5626905,0,0,32,0.07849800022086129
1,1,17,1765563324,3,True,1765563325.5646353,1,0,74,0.050455999371479265
1,1,15,1765563324,2,True,1765563325.565558,1,0,52,0.04147500021645101
1,1,14,1765563324,2,True,1765563325.567336,1,0,53,0.03979499979323009
1,1,61,1765563325,3,True,1765563325.5768456,0,0,74,0.06641300024057273
1,1,62,1765563325,2,True,1765563325.5988626,0,0,53,0.07172000005084556
1,1,63,1765563325,1,True,1765563325.611117,0,0,32,0.07641900083399378
1,1,64,1765563325,1,True,1765563325.6306288,0,0,32,0.0437339995187358
1,1,65,1765563325,1,True,1765563325.6575193,0,0,31,0.054508000175701454
1,1,22,1765563324,3,True,1765563325.6585348,1,0,73,0.05006600076740142
1,1,18,1765563324,3,True,1765563325.659332,1,0,72,0.04894599987892434
1,1,19,1765563324,1,True,1765563325.6595762,1,0,32,0.03609200030041393
1,1,20,1765563324,3,True,1765563325.660426,1,0,72,0.0460599994767108
1,1,21,1765563324,3,True,1765563325.6652975,1,0,74,0.057498999922245275
1,1,66,1765563325,2,True,1765563325.6812313,0,0,53,0.09081899952434469
1,1,67,1765563325,3,True,1765563325.7014403,0,0,74,0.06787399979657494
1,1,68,1765563325,2,True,1765563325.7412565,0,0,53,0.056226999731734395
1,1,69,1765563325,3,True,1765563325.7556822,0,0,73,0.0712730006853235
1,1,26,1765563324,2,True,1765563325.7560825,1,0,53,0.050255999667569995
1,1,23,1765563324,3,True,1765563325.7594416,1,0,73,0.06006199964758707
1,1,25,1765563324,3,True,1765563325.7665398,1,0,73,0.04752199947688496
1,1,24,1765563324,3,True,1765563325.7686884,1,0,73,0.047094999899854884
1,1,70,1765563325,3,True,1765563325.7838492,0,0,73,0.06794099954277044
1,1,71,1765563325,2,True,1765563325.808955,0,0,53,0.05332199998520082
1,1,72,1765563325,2,True,1765563325.8263214,0,0,53,0.043989999539917335
1,1,73,1765563325,1,True,1765563325.8336532,0,0,32,0.043848999666806776
1,1,28,1765563324,3,True,1765563325.8614185,1,0,73,0.05823999981657835
1,1,27,1765563324,1,True,1765563325.8675227,1,0,31,0.03557899981387891
